fpts,player,team,bye,pos,adp
204.3,Justin Jefferson,MIN,13,WR,1
233.8,Christian McCaffrey,SF,9,RB,2
201.7,Ja'Marr Chase,CIN,7,WR,3
223.3,Austin Ekeler,LAC,5,RB,4
181.8,Travis Kelce,KC,10,TE,5.5
194.6,Tyreek Hill,MIA,10,WR,6
194.8,Cooper Kupp,LAR,10,WR,7
206.9,Saquon Barkley,NYG,13,RB,8
212.7,Bijan Robinson,ATL,11,RB,8.5
177.2,Stefon Diggs,BUF,13,WR,11
219.9,Nick Chubb,CLE,5,RB,11
182,CeeDee Lamb,DAL,7,WR,12
168.8,A.J. Brown,PHI,10,WR,12.5
383.7,Patrick Mahomes II,KC,10,QB,15
178,Davante Adams,LV,13,WR,17.5
210.9,Tony Pollard,DAL,7,RB,18
157.1,Amon-Ra St. Brown,DET,9,WR,18
150.9,Garrett Wilson,NYJ,7,WR,18.5
201,Jonathan Taylor,IND,11,RB,19
380.8,Josh Allen,BUF,13,QB,19
219.5,Derrick Henry,TEN,7,RB,19
376.3,Jalen Hurts,PHI,10,QB,22
213.4,Josh Jacobs,LV,13,RB,23.5
157.6,Jaylen Waddle,MIA,10,WR,23.5
182.5,Najee Harris,PIT,6,RB,26
146.1,Chris Olave,NO,11,WR,26
141.9,DeVonta Smith,PHI,10,WR,26.5
170,Rhamondre Stevenson,NE,11,RB,26.5
128.4,Mark Andrews,BAL,13,TE,27.5
176.4,Travis Etienne Jr.,JAC,9,RB,30.5
147.8,Tee Higgins,CIN,7,WR,32
350.9,Lamar Jackson,BAL,13,QB,32.5
346.1,Joe Burrow,CIN,7,QB,33.5
161.8,Jahmyr Gibbs,DET,9,RB,34.5
143.9,DK Metcalf,SEA,5,WR,36.5
188.4,Joe Mixon,CIN,7,RB,37.5
141.3,Calvin Ridley,JAC,9,WR,38
158.2,Breece Hall,NYJ,7,RB,38.5
150.6,Deebo Samuel,SF,9,WR,39
173.7,Kenneth Walker III,SEA,5,RB,39
321.5,Justin Herbert,LAC,5,QB,42.5
183,Aaron Jones,GB,6,RB,42.5
145.2,Amari Cooper,CLE,5,WR,42.5
165.7,Dameon Pierce,HOU,7,RB,43
132.8,Keenan Allen,LAC,5,WR,43.5
326.5,Justin Fields,CHI,13,QB,43.5
116.6,T.J. Hockenson,MIN,13,TE,45.5
135.6,Terry McLaurin,WAS,14,WR,46.5
129.6,DeAndre Hopkins,TEN,7,WR,48.5
160.2,Miles Sanders,CAR,7,RB,49.5
113.1,George Kittle,SF,9,TE,53
135.8,DJ Moore,CHI,13,WR,54.5
140,Jerry Jeudy,DEN,9,WR,54.5
155.6,J.K. Dobbins,BAL,13,RB,55.5
300.6,Trevor Lawrence,JAC,9,QB,55.5
174.3,Alexander Mattison,MIN,13,RB,56.5
144.4,Christian Watson,GB,6,WR,57.5
157.5,Cam Akers,LAR,10,RB,60.5
141.1,Alvin Kamara,NO,11,RB,61
143.2,Javonte Williams,DEN,9,RB,62.5
122.8,Drake London,ATL,11,WR,63
135.5,Mike Williams,LAC,5,WR,63.5
126.5,D'Andre Swift,PHI,10,RB,63.5
151.6,Rachaad White,TB,5,RB,64.5
108.6,Darren Waller,NYG,13,TE,64.5
168,James Conner,ARI,14,RB,64.5
121.8,Chris Godwin,TB,5,WR,65.5
102.9,Kyle Pitts,ATL,11,TE,66.5
128.8,Christian Kirk,JAC,9,WR,68
97.5,Dallas Goedert,PHI,10,TE,68.5
123.2,Brandon Aiyuk,SF,9,WR,68.5
123.8,Dalvin Cook,NYJ,7,RB,68.5
121.3,Tyler Lockett,SEA,5,WR,72.5
142.9,James Cook,BUF,13,RB,74
111.5,Michael Pittman Jr.,IND,11,WR,74.5
155.2,Isiah Pacheco,KC,10,RB,75
120.6,Marquise Brown,ARI,14,WR,78
147.8,David Montgomery,DET,9,RB,78
117.8,George Pickens,PIT,6,WR,79
118.5,Diontae Johnson,PIT,6,WR,79
134.3,Mike Evans,TB,5,WR,80
311.2,Deshaun Watson,CLE,5,QB,83
106.8,Jaxon Smith-Njigba,SEA,5,WR,84
301.2,Dak Prescott,DAL,7,QB,84.5
129.5,AJ Dillon,GB,6,RB,85.5
110.5,Jordan Addison,MIN,13,WR,86
87.4,Evan Engram,JAC,9,TE,86.5
115.1,Antonio Gibson,WAS,14,RB,87.5
118.7,Jahan Dotson,WAS,14,WR,89.5
87.5,Pat Freiermuth,PIT,6,TE,93
127.9,Brian Robinson Jr.,WAS,14,RB,93.5
280.9,Tua Tagovailoa,MIA,10,QB,93.5
127.5,Khalil Herbert,CHI,13,RB,96.5
108.9,Treylon Burks,TEN,7,WR,96.5
111.9,Brandin Cooks,DAL,7,WR,96.5
83.4,David Njoku,CLE,5,TE,97
111.7,Rashaad Penny,PHI,10,RB,99.5
119.7,Gabe Davis,BUF,13,WR,100
110.5,Jamaal Williams,NO,11,RB,100.5
96.6,Zach Charbonnet,SEA,5,RB,101
87.1,De'Von Achane,MIA,10,RB,101.5
104.5,Courtland Sutton,DEN,9,WR,102
299.5,Kirk Cousins,MIN,13,QB,103.5
104,Michael Thomas,NO,11,WR,104
118.3,Samaje Perine,DEN,9,RB,107
100.2,Kadarius Toney,KC,10,WR,107.5
269.6,Anthony Richardson,IND,11,QB,107.5
282.2,Aaron Rodgers,NYJ,7,QB,107.5
102.6,JuJu Smith-Schuster,NE,11,WR,107.5
296.8,Daniel Jones,NYG,13,QB,108
93.8,Quentin Johnston,LAC,5,WR,109
102.4,Zay Flowers,BAL,13,WR,110
83.5,Elijah Moore,CLE,5,WR,112.5
97.3,Odell Beckham Jr.,BAL,13,WR,114.5
296.8,Geno Smith,SEA,5,QB,115
72.1,Dalton Kincaid,BUF,13,TE,115
276.3,Jared Goff,DET,9,QB,116.5
90.9,Damien Harris,BUF,13,RB,118
102.1,Elijah Mitchell,SF,9,RB,118.5
81.5,Dalton Schultz,HOU,7,TE,119
82.6,Jerick McKinnon,KC,10,RB,119.5
88,Skyy Moore,KC,10,WR,123.5
92.8,Allen Lazard,NYJ,7,WR,124
82.8,Chigoziem Okonkwo,TEN,7,TE,125
78.8,Jameson Williams,DET,9,WR,126
89.2,Adam Thielen,CAR,7,WR,126.5
75.8,Tank Bigsby,JAC,9,RB,128.5
75.8,Cole Kmet,CHI,13,TE,129.5
90.7,D'Onta Foreman,CHI,13,RB,131.5
279.6,Russell Wilson,DEN,9,QB,131.5
99.4,Raheem Mostert,MIA,10,RB,133.5
77.5,Rashod Bateman,BAL,13,WR,134.5
100.4,Tyler Allgeier,ATL,11,RB,134.5
87.4,Romeo Doubs,GB,6,WR,135
78.9,Tyler Higbee,LAR,10,TE,138
86.1,Jaylen Warren,PIT,6,RB,138.5
93.3,Ezekiel Elliott,NE,11,RB,138.5
97.4,Jakobi Meyers,LV,13,WR,140
78.2,Greg Dulcich,DEN,9,TE,141
88.9,Devin Singletary,HOU,7,RB,141
66.5,Sam LaPorta,DET,9,TE,142.5
88.2,Rondale Moore,ARI,14,WR,144
95,Tyler Boyd,CIN,7,WR,147
70.3,Roschon Johnson,CHI,13,RB,147
91.9,Darnell Mooney,CHI,13,WR,147.5
52.3,Kendre Miller,NO,11,RB,149
252.4,Derek Carr,NO,11,QB,149.5
98.1,Nico Collins,HOU,7,WR,150
0,Kareem Hunt,,,RB,150.5
124.3,Justin Tucker,BAL,13,K,152
51.9,Jalin Hyatt,NYG,13,WR,159
90,Zay Jones,JAC,9,WR,160
67.1,Rashee Rice,KC,10,WR,160.5
238.9,Bryce Young,CAR,7,QB,160.5
109.9,Jeff Wilson Jr.,MIA,10,RB,161
250.8,Jordan Love,GB,6,QB,161
82.3,Kenneth Gainwell,PHI,10,RB,161.5
74.7,Gerald Everett,LAC,5,TE,164.5
43.1,Zamir White,LV,13,RB,165.5
215.1,Kyler Murray,ARI,14,QB,166
82.9,Donovan Peoples-Jones,CLE,5,WR,166.5
251.1,Matthew Stafford,LAR,10,QB,166.5
88.1,Chuba Hubbard,CAR,7,RB,166.5
122.5,Daniel Carlson,LV,13,K,167
250.6,Kenny Pickett,PIT,6,QB,167.5
61.5,Tyjae Spears,TEN,7,RB,169
123,Tyler Bass,BUF,13,K,171
72.5,Juwan Johnson,NO,11,TE,171.5
123.1,Evan McPherson,CIN,7,K,173
239.3,Brock Purdy,SF,9,QB,173.5
82.9,K.J. Osborn,MIN,13,WR,174
80.4,Gus Edwards,BAL,13,RB,174
86.1,Jonathan Mingo,CAR,7,WR,175
124.1,Harrison Butker,KC,10,K,178.5
65.9,Irv Smith Jr.,CIN,7,TE,179
73.7,Alec Pierce,IND,11,WR,179.5
41.6,Deuce Vaughn,DAL,7,RB,181
95,DJ Chark Jr.,CAR,7,WR,181.5
54.3,Michael Mayer,LV,13,TE,182.5
65.5,Cordarrelle Patterson,ATL,11,RB,184
0,Leonard Fournette,,,RB,185
61.8,Clyde Edwards-Helaire,KC,10,RB,186
43.8,Tank Dell,HOU,7,WR,186.5
56.1,Mike Gesicki,NE,11,TE,188
220.5,C.J. Stroud,HOU,7,QB,188.5
57.8,Jerome Ford,CLE,5,RB,189.5
93.1,Michael Gallup,DAL,7,WR,190.5
207.2,Sam Howell,WAS,14,QB,190.5
120.9,Younghoe Koo,ATL,11,K,191.5
124.3,Jason Myers,SEA,5,K,191.5
59.6,Taysom Hill,NO,11,TE,193.5
54.9,Chase Brown,CIN,7,RB,196
85,Van Jefferson,LAR,10,WR,196
62.9,Parris Campbell,NYG,13,WR,196.5
50.3,Luke Musgrave,GB,6,TE,197
121.3,Jake Elliott,PHI,10,K,198.5
73.8,John Metchie III,HOU,7,WR,199.5
221.9,Ryan Tannehill,TEN,7,QB,201.5
52.2,Marvin Mims Jr.,DEN,9,WR,204
118.5,Brandon McManus,JAC,9,K,205
226.2,Jimmy Garoppolo,LV,13,QB,205
21.7,Justyn Ross,KC,10,WR,205
94,Marquez Valdes-Scantling,KC,10,WR,205.5
117.4,Jason Sanders,MIA,10,K,208
78.6,Isaiah Hodgins,NYG,13,WR,208.5
66.1,Hunter Henry,NE,11,TE,210.5
108.2,San Francisco 49ers,DST,9,DST,145
191.9,Desmond Ridder,ATL,11,QB,213.5
60.5,Hayden Hurst,CAR,7,TE,213.5
62.7,Joshua Kelley,LAC,5,RB,214
80.5,Jayden Reed,GB,6,WR,214.5
217.8,Mac Jones,NE,11,QB,215
78.6,Rashid Shaheed,NO,11,WR,215
114.5,Philadelphia Eagles,DST,10,DST,153
58.2,Ty Chandler,MIN,13,RB,219
60.2,Zach Ertz,ARI,14,TE,219
115.8,Dallas Cowboys,DST,7,DST,161
32.1,Michael Carter,NYJ,7,RB,219.5
54.4,Wan'Dale Robinson,NYG,13,WR,220
54.3,Jake Ferguson,DAL,7,TE,221
80.9,Hunter Renfrow,LV,13,WR,221.5
118.2,Cameron Dicker,LAC,5,K,222
85.5,Curtis Samuel,WAS,14,WR,223.5
111.3,New England Patriots,DST,11,DST,173
61,Dawson Knox,BUF,13,TE,227
187.2,Baker Mayfield,TB,5,QB,227.5
56.5,Kyren Williams,LAR,10,RB,227.5
106.2,Buffalo Bills,DST,13,DST,180
102.9,Baltimore Ravens,DST,13,DST,191
52.3,Trey Lance,SF,9,QB,236
42.3,Isaiah Likely,BAL,13,TE,237
116.1,Jake Moody,SF,9,K,237.5
66.7,Chase Edmonds,TB,5,RB,238.5
100.4,Jacksonville Jaguars,DST,9,DST,200
15.4,Cole Beasley,NYG,13,WR,203
26.3,DeWayne McBride,MIN,13,RB,261.5
105.4,New York Jets,DST,7,DST,208
56.8,Tyler Conklin,NYJ,7,TE,243
44.8,Josh Downs,IND,11,WR,250
68,Darius Slayton,NYG,13,WR,243.5
71.1,Robert Woods,HOU,7,WR,244.5
69.9,Chase Claypool,CHI,13,WR,244.5
49.7,Trey McBride,ARI,14,TE,254.5
69.6,Mecole Hardman Jr.,NYJ,7,WR,245.5
49.7,Israel Abanikanda,NYJ,7,RB,264.5
106.7,New Orleans Saints,DST,11,DST,216
42.5,Zach Evans,LAR,10,RB,248
119,Graham Gano,NYG,13,K,251
112.9,Matt Gay,IND,11,K,260.5
108,Kansas City Chiefs,DST,10,DST,222
45.1,Sterling Shepard,NYG,13,WR,223
88.4,DeVante Parker,NE,11,WR,259.5
32.7,Puka Nacua,LAR,10,WR,271
62.5,Noah Fant,SEA,5,TE,252
42.1,Richie James Jr.,KC,10,WR,253
113.7,Greg Zuerlein,NYJ,7,K,229
48,Michael Wilson,ARI,14,WR,256.5
71.6,Colt McCoy,ARI,14,QB,232
76.9,Kyle Trask,TB,5,QB,234
59.9,Jelani Woods,IND,11,TE,256.5
98.9,Denver Broncos,DST,9,DST,236
39.5,Gardner Minshew II,IND,11,QB,238
26.8,Davis Mills,HOU,7,QB,239
58,Khalil Shakir,BUF,13,WR,277.5
29.8,Pierre Strong Jr.,NE,11,RB,259
65.1,Allen Robinson II,PIT,6,WR,259
109.4,Pittsburgh Steelers,DST,6,DST,241
59.4,Cade Otton,TB,5,TE,266
107.2,Miami Dolphins,DST,10,DST,243
100,New York Giants,DST,13,DST,244
54.9,Joshua Palmer,LAC,5,WR,261
33,Mike White,MIA,10,QB,245
25,Deon Jackson,IND,11,RB,246
56.6,Tyquan Thornton,NE,11,WR,272.5
55,Will Levis,TEN,7,QB,247
29.6,Foster Moreau,NO,11,TE,248
27.3,Evan Hull,IND,11,RB,267
42.3,Zack Moss,IND,11,RB,270
27.1,Sean Tucker,TB,5,RB,277.5
107.4,Washington Commanders,DST,14,DST,252
26.9,Malik Davis,DAL,7,RB,286
53.6,Logan Thomas,WAS,14,TE,267
50.6,Keaontay Ingram,ARI,14,RB,287.5
43.6,Cedric Tillman,CLE,5,WR,284.5
20.9,Darnell Washington,PIT,6,TE,258
36,Eric Gray,NYG,13,RB,259
68.6,Marvin Jones Jr.,DET,9,WR,291.5
109.1,Cleveland Browns,DST,5,DST,261
49.1,Terrace Marshall Jr.,CAR,7,WR,272.5
65.6,Mack Hollins,ATL,11,WR,262
68.7,Corey Davis,NYJ,7,WR,282
27.1,Adam Trautman,DEN,9,TE,263
0,Adrian Martinez,DET,9,QB,264
0,John Lovett,,,QB,265
99.8,Cincinnati Bengals,DST,7,DST,266
0,Cephus Johnson III,TB,5,WR,266
0,Braydon Johnson,,,WR,267
113.3,Cade York,CLE,5,K,267
48,Latavius Murray,BUF,13,RB,268
0,Ryan Willis,,,QB,268